observation,id,year,risk_ordered,risk_binary,stock_holding,risk_ratio,age,income,retired,education_uni,education_year12,education_year11,education_year10,married,gender,children
89,100489,2002,2,1,1,1,42,59141,0,0,0,1,0,1,1,0
90,100496,2002,2,1,1,0,63,17545,1,0,0,0,0,1,1,0
91,100498,2002,1,0,0,0,69,49261,0,0,0,0,0,1,1,0
92,100505,2002,2,1,1,1,63,78200,1,0,0,0,1,0,1,0
93,100507,2002,1,0,0,1,43,111816,0,1,0,0,0,0,0,1
94,100510,2002,1,0,0,1,41,40990,0,0,1,0,0,0,1,0
95,100513,2002,2,1,1,0,52,22500,0,0,0,0,1,0,1,0
96,100516,2002,1,0,0,0,68,104676,1,0,0,0,1,1,1,0
97,100519,2002,2,1,1,1,32,80080,0,0,0,1,0,1,1,0
98,100522,2002,3,1,1,1,31,58000,0,1,0,0,0,0,1,0
99,100523,2002,1,0,0,0,68,27221,0,0,0,0,0,1,1,0
100,100525,2002,2,1,1,0,28,72000,0,0,1,0,0,1,1,0
101,100529,2002,2,1,1,0,42,83751,0,0,0,1,0,1,1,1
102,100530,2002,2,1,1,1,61,5000,1,1,0,0,0,1,1,0
103,100538,2002,1,0,0,0,72,11102,1,0,0,0,1,0,0,0
104,100542,2002,1,0,0,0,32,59398,0,1,0,0,0,1,1,0
105,100552,2002,2,1,1,1,73,23300,1,1,0,0,0,1,1,0
106,100556,2002,1,0,0,0,45,121100,0,1,0,0,0,1,1,1
107,100561,2002,1,0,0,1,52,96371,0,0,0,1,0,1,1,0
108,100572,2002,1,0,0,0,62,12800,1,0,0,0,1,0,0,0
109,100575,2002,4,1,1,0,37,133050,0,0,0,0,1,1,1,0
110,100580,2002,2,1,1,0,57,96832,0,0,0,0,1,1,1,0
111,100582,2002,2,1,1,0,49,100310,0,0,0,0,0,1,1,1
112,100589,2002,2,1,1,0,44,68790,0,1,0,0,0,1,1,0
113,100592,2002,2,1,1,1,44,99270,0,0,0,0,1,1,1,0
114,100612,2002,3,1,1,1,54,107950,0,1,0,0,0,1,1,1
115,100616,2002,1,0,0,0,71,24368,1,0,0,0,0,1,1,0
116,100621,2002,2,1,1,0,45,77158,0,0,1,0,0,1,1,0
117,100630,2002,2,1,1,0,50,114585,0,0,0,0,1,1,1,0
118,100644,2002,4,1,1,1,44,62888,0,0,0,0,1,1,1,0
119,100654,2002,2,1,1,0,34,80326,0,0,0,0,1,1,1,1
120,100667,2002,2,1,1,0,34,51876,0,0,0,0,0,1,1,0
121,100673,2002,2,1,1,0,73,27506,1,0,0,1,0,0,0,0
122,100674,2002,3,1,1,1,29,141840,0,1,0,0,0,1,1,0
123,100680,2002,2,1,1,0,55,29800,0,0,0,0,0,0,1,0
124,100681,2002,3,1,1,1,41,128274,0,1,0,0,0,1,1,0
125,100689,2002,2,1,1,1,55,661976,0,0,0,0,1,1,1,0
126,100693,2002,2,1,1,0,43,66624,0,0,0,0,1,1,1,0
127,100696,2002,1,0,0,1,41,165100,0,0,0,1,0,1,1,2
128,100702,2002,2,1,1,0,57,80491,0,0,0,0,1,1,1,0
129,100703,2002,1,0,0,0,60,107000,0,0,0,0,1,1,1,0
130,100719,2002,2,1,1,0,53,19608,0,0,1,0,0,0,1,0
131,100720,2002,2,1,1,0,40,90344,0,0,0,0,1,1,1,0
132,100760,2002,3,1,1,0,37,272550,0,1,0,0,0,1,1,0
133,100763,2002,1,0,0,0,72,11616,1,0,0,0,1,0,0,0
134,100766,2002,1,0,0,0,54,32000,0,1,0,0,0,0,1,0
135,100773,2002,1,0,0,0,25,55000,0,1,0,0,0,1,1,0
136,100798,2002,1,0,0,0,42,25862,0,0,0,0,1,0,0,0
137,100807,2002,2,1,1,0,61,21056,0,0,0,0,1,1,1,0
138,100811,2002,1,0,0,1,74,35400,1,0,0,0,1,1,1,0
139,100814,2002,1,0,0,0,29,57982,0,0,1,0,0,1,1,0
140,100818,2002,1,0,0,0,26,43000,0,0,1,0,0,0,0,0
141,100819,2002,1,0,0,0,47,136186,1,0,1,0,0,1,1,1
142,100826,2002,2,1,1,0,59,30190,0,0,0,0,0,1,1,0
143,100832,2002,2,1,1,0,59,105000,0,0,0,0,0,1,1,0
144,100833,2002,2,1,1,0,46,55000,0,0,0,0,1,0,1,0
145,100834,2002,2,1,1,0,71,126261,1,0,0,0,1,1,1,0
146,100846,2002,1,0,0,0,44,92818,0,0,0,0,0,1,1,2
147,100852,2002,2,1,1,1,54,141050,0,1,0,0,0,1,1,0
148,100857,2002,1,0,0,0,47,42000,0,0,0,0,1,0,0,0
149,100880,2002,2,1,1,1,51,90752,0,0,0,0,1,1,1,0
150,100893,2002,2,1,1,0,50,78119,0,0,0,0,0,1,1,0
151,100895,2002,1,0,0,0,36,101400,0,0,0,0,1,1,1,0
152,100904,2002,2,1,1,0,25,55530,0,0,1,0,0,1,1,0
153,100908,2002,2,1,1,1,63,49910,1,1,0,0,0,1,1,0
154,100918,2002,2,1,1,0,37,44859,0,0,0,0,1,1,1,0
155,100923,2002,2,1,1,0,39,36228,0,0,1,0,0,1,1,0
156,100931,2002,2,1,1,0,36,92180,0,0,0,1,0,0,1,0
157,100934,2002,2,1,1,0,27,22063,0,0,0,0,1,1,1,0
158,100946,2002,1,0,0,0,31,15057,0,0,0,0,1,0,0,0
159,100948,2002,1,0,0,1,39,57079,0,1,0,0,0,1,1,0
160,100956,2002,3,1,1,1,47,420491,0,0,1,0,0,1,1,1
161,100967,2002,2,1,1,1,46,41536,0,0,0,1,0,1,1,1
162,100970,2002,4,1,1,0,28,39000,0,0,1,0,0,0,0,0
163,100973,2002,1,0,0,0,49,57500,0,1,0,0,0,0,1,0
164,100975,2002,2,1,1,1,33,110464,0,1,0,0,0,1,1,0
165,100992,2002,1,0,0,0,39,57600,0,1,0,0,0,1,1,0
166,100994,2002,2,1,1,0,37,77811,0,0,0,0,1,1,1,0
167,101007,2002,1,0,0,0,30,45148,0,0,1,0,0,1,1,0
168,101011,2002,2,1,1,0,61,91120,0,0,0,0,1,1,1,0
169,101012,2002,1,0,0,0,30,39030,0,0,0,0,1,0,0,0
170,101015,2002,2,1,1,0,28,45000,0,1,0,0,0,1,1,0
171,101025,2002,2,1,1,1,42,33764,0,0,0,0,1,1,1,0
172,101028,2002,1,0,0,0,38,48036,0,0,1,0,0,1,1,0
173,101032,2002,1,0,0,0,32,35910,0,0,0,0,1,0,0,0
174,101035,2002,1,0,0,1,41,43546,0,1,0,0,0,0,0,0
175,101042,2002,2,1,1,0,49,63808,0,1,0,0,0,1,1,1
176,101045,2002,2,1,1,0,45,69519,0,0,0,0,0,1,1,0
177,101049,2002,2,1,1,1,54,226000,0,1,0,0,0,1,1,0
178,101053,2002,1,0,0,0,28,62939,0,0,1,0,0,1,1,0
179,101057,2002,2,1,1,0,37,62000,0,0,1,0,0,0,0,0
180,101060,2002,2,1,1,0,27,73000,0,1,0,0,0,1,1,0
181,101070,2002,1,0,0,0,67,17420,1,0,0,0,0,1,1,0
182,101072,2002,2,1,1,1,46,91358,0,0,1,0,0,1,1,0
183,101116,2002,2,1,1,0,54,90000,0,0,0,0,1,1,1,0
184,101123,2002,1,0,0,0,42,52927,0,0,0,0,1,1,1,0
185,101127,2002,3,1,1,1,40,113622,0,1,0,0,0,1,1,0
186,101132,2002,3,1,1,1,50,60206,0,0,0,1,0,1,1,0
187,101138,2002,2,1,1,0,34,45296,0,0,0,0,1,1,1,0
188,101142,2002,2,1,1,0,51,79700,0,0,1,0,0,1,1,0
189,101148,2002,3,1,1,1,31,106100,0,1,0,0,0,1,1,0
190,101151,2002,2,1,1,0,28,102759,0,1,0,0,0,1,1,0
191,101153,2002,3,1,1,0,49,61619,0,0,0,0,1,1,1,2
192,101161,2002,1,0,0,0,69,24512,1,0,0,0,1,1,1,0
193,101164,2002,2,1,1,0,51,15405,0,1,0,0,0,1,1,2
194,101171,2002,2,1,1,0,37,135328,0,1,0,0,0,1,1,0
195,101176,2002,2,1,1,1,40,102900,0,0,0,1,0,1,1,0
196,101186,2002,3,1,1,0,36,20780,0,0,0,1,0,1,1,0
197,101192,2002,1,0,0,0,39,42000,0,0,0,0,1,0,1,0
198,101193,2002,1,0,0,0,69,23504,1,0,0,0,0,1,1,0
199,101196,2002,1,0,0,0,27,62326,0,0,1,0,0,1,1,0
200,101204,2002,1,0,0,0,53,75772,0,1,0,0,0,1,1,0
201,101215,2002,2,1,1,0,36,84010,0,1,0,0,0,1,1,0
202,101226,2002,2,1,1,1,73,54800,1,0,0,0,1,1,1,0
203,101231,2002,3,1,1,1,57,128900,0,0,1,0,0,1,1,1
204,101238,2002,1,0,0,0,50,113473,0,0,0,1,0,1,1,0
205,101250,2002,2,1,1,0,67,29700,1,0,0,0,1,1,1,0
206,101252,2002,1,0,0,0,43,39000,0,0,0,0,1,1,1,0
207,101261,2002,2,1,1,1,67,44016,1,0,1,0,0,1,1,0
208,101263,2002,2,1,1,1,30,20172,0,0,0,0,1,0,1,0
209,101279,2002,2,1,1,0,61,38612,1,0,0,0,0,1,1,0
210,101280,2002,1,0,0,0,49,55734,0,1,0,0,0,1,1,0
211,101282,2002,1,0,0,0,38,57160,0,0,0,0,1,0,1,0
212,101283,2002,3,1,1,1,65,11470,1,1,0,0,0,1,1,0
213,101293,2002,2,1,1,1,50,100550,0,1,0,0,0,1,1,1
214,101300,2002,3,1,1,1,56,111800,0,0,0,0,1,1,1,0
215,101307,2002,2,1,1,1,59,29350,1,0,0,1,0,0,1,0
216,101308,2002,2,1,1,0,52,110000,0,0,0,0,0,1,1,0
217,101313,2002,2,1,1,0,53,21441,1,0,0,1,0,0,1,0
218,101316,2002,2,1,1,0,52,43951,0,0,0,0,1,1,1,0
219,101318,2002,2,1,1,0,44,124993,0,1,0,0,0,1,1,0
220,101323,2002,1,0,0,0,34,24000,0,0,0,1,0,0,1,0
221,101324,2002,1,0,0,0,31,21037,0,0,0,0,1,0,0,0
222,101333,2002,2,1,1,0,58,40105,0,0,0,0,0,1,1,0
223,101338,2002,1,0,0,1,58,27304,1,0,0,0,1,1,1,0
224,101341,2002,3,1,1,0,38,57558,0,1,0,0,0,1,1,0
225,101347,2002,2,1,1,0,53,35381,0,0,0,0,1,1,1,0
226,101350,2002,2,1,1,0,51,115239,0,1,0,0,0,1,1,2
227,101357,2002,2,1,1,0,33,49749,0,1,0,0,0,0,0,1
228,101366,2002,1,0,0,0,72,24112,1,0,0,0,0,1,1,0
229,101378,2002,1,0,0,0,40,41000,0,0,0,0,1,1,1,0
230,101387,2002,2,1,1,0,60,22000,0,0,0,0,0,1,1,0
231,101393,2002,1,0,0,0,38,26000,0,0,1,0,0,0,0,0
232,101407,2002,2,1,1,0,40,27258,0,0,0,0,1,1,1,0
233,101410,2002,3,1,1,0,51,111000,0,1,0,0,0,1,1,0
234,101412,2002,1,0,0,0,43,113500,0,1,0,0,0,1,1,0
235,101424,2002,1,0,0,0,45,118530,0,0,1,0,0,1,1,1
236,101438,2002,2,1,1,1,57,124263,1,1,0,0,0,1,1,1
237,101442,2002,1,0,0,0,72,11942,1,0,1,0,0,1,1,0
238,101445,2002,2,1,1,0,51,68014,0,0,1,0,0,1,1,1
239,101447,2002,3,1,1,0,44,180000,0,1,0,0,0,1,1,0
240,101453,2002,1,0,0,0,26,11001,0,0,1,0,0,0,0,0
241,101458,2002,2,1,1,1,61,43330,0,0,0,0,1,1,1,0
242,101461,2002,3,1,1,1,35,119000,0,0,1,0,0,1,1,0
243,101463,2002,3,1,1,1,32,74245,0,0,0,1,0,1,1,0
244,101481,2002,2,1,1,1,47,90393,0,1,0,0,0,1,1,0
245,101486,2002,2,1,1,0,55,124000,0,0,0,0,1,1,1,0
246,101495,2002,2,1,1,0,43,10050,0,1,0,0,0,0,1,0
247,101497,2002,1,0,0,0,44,54067,0,0,0,0,1,1,1,1
248,101505,2002,2,1,1,1,27,34548,0,0,1,0,0,1,1,0
249,101508,2002,3,1,1,0,34,74458,0,0,0,1,0,1,1,0
250,101513,2002,3,1,1,1,37,86310,0,1,0,0,0,1,1,0
251,101516,2002,1,0,0,0,66,19060,1,0,0,0,0,1,1,0
252,101531,2002,2,1,1,1,28,66600,0,0,1,0,0,0,1,0
253,101537,2002,2,1,1,0,31,61434,0,0,1,0,0,1,1,0
254,101539,2002,2,1,1,1,70,16816,1,0,1,0,0,0,0,0
255,101557,2002,1,0,0,0,60,49608,1,0,0,0,0,1,1,0
256,101561,2002,1,0,0,0,49,56150,0,0,0,0,0,0,1,0
257,101562,2002,3,1,1,1,43,87554,0,0,0,0,1,1,1,0
258,101569,2002,2,1,1,1,64,24248,1,0,0,0,1,1,1,0
259,101586,2002,1,0,0,0,58,11102,1,0,0,0,1,0,0,0
260,101591,2002,2,1,1,0,48,63917,0,0,1,0,0,1,1,2
261,101609,2002,2,1,1,1,74,60189,0,1,0,0,0,1,1,0
262,101610,2002,1,0,0,1,62,35435,0,0,0,1,0,0,1,0
263,101611,2002,2,1,1,1,35,98250,0,1,0,0,0,1,1,0
264,101613,2002,3,1,1,1,45,67526,0,0,1,0,0,1,1,0
265,101618,2002,1,0,0,0,31,136030,0,0,0,1,0,1,1,0
266,101630,2002,1,0,0,0,35,46283,0,0,0,1,0,1,1,0
267,101638,2002,2,1,1,0,38,115050,0,1,0,0,0,1,1,0
268,101641,2002,2,1,1,0,59,179865,0,1,0,0,0,1,1,0
269,101653,2002,2,1,1,0,40,86232,0,1,0,0,0,1,1,0
270,101656,2002,1,0,0,0,46,92100,0,0,0,1,0,0,1,0
271,101683,2002,2,1,1,0,59,97393,0,0,0,0,1,0,0,0
272,101691,2002,4,1,1,1,34,50379,0,0,1,0,0,0,1,0
273,101692,2002,1,0,0,0,68,48518,1,0,1,0,0,1,1,0
274,101695,2002,1,0,0,0,63,35796,0,0,0,0,0,1,1,0
275,101697,2002,1,0,0,0,73,14668,1,0,0,0,1,0,0,0
276,101699,2002,1,0,0,0,30,69810,0,0,0,1,0,1,1,0
277,101703,2002,3,1,1,0,27,134515,0,1,0,0,0,1,1,0
278,101704,2002,1,0,0,1,66,31079,1,0,0,0,1,0,0,0
279,101708,2002,1,0,0,0,69,10500,1,0,0,0,0,0,1,0
280,101723,2002,1,0,0,0,73,19400,1,0,0,0,0,1,1,0
281,101725,2002,1,0,0,0,41,20575,0,0,0,0,0,0,0,0
282,101731,2002,1,0,0,0,64,35700,0,1,0,0,0,0,0,0
283,101733,2002,1,0,0,0,46,53950,0,0,0,0,1,1,1,1
284,101735,2002,3,1,1,1,40,57092,0,0,0,1,0,1,1,0
285,101740,2002,3,1,1,0,57,107544,0,0,1,0,0,1,1,0
286,101752,2002,1,0,0,0,47,30000,0,1,0,0,0,1,1,0
287,101754,2002,2,1,1,1,30,68034,0,1,0,0,0,1,1,0
288,101757,2002,2,1,1,0,30,81000,0,1,0,0,0,1,1,0
289,101758,2002,1,0,0,0,47,30350,0,0,0,1,0,0,0,0
290,101767,2002,1,0,0,0,33,48018,0,0,1,0,0,0,0,0
291,101769,2002,2,1,1,1,42,68300,0,0,1,0,0,0,1,0
292,101770,2002,1,0,0,1,39,51936,0,0,0,1,0,0,0,0
293,101774,2002,1,0,0,0,64,10816,1,0,0,0,0,0,1,0
294,101787,2002,1,0,0,0,31,18262,0,0,0,0,1,0,0,0
295,101812,2002,1,0,0,1,26,98377,0,1,0,0,0,1,1,0
296,101818,2002,1,0,0,0,56,104293,0,0,0,0,0,1,1,0
297,101826,2002,1,0,0,1,35,47518,0,0,0,1,0,1,1,0
298,101838,2002,2,1,1,1,32,89440,0,0,1,0,0,1,1,0
299,101842,2002,1,0,0,0,72,10690,1,0,0,0,0,0,0,0
300,101845,2002,1,0,0,0,61,26860,0,0,0,1,0,0,0,0
301,101847,2002,2,1,1,1,52,89300,0,0,1,0,0,1,1,0
302,101848,2002,3,1,1,1,25,32070,0,0,1,0,0,0,1,0
303,101849,2002,1,0,0,0,73,46177,1,0,0,0,1,1,1,0
304,101858,2002,1,0,0,0,39,62673,0,1,0,0,0,1,1,1
305,101865,2002,1,0,0,1,58,55449,1,0,0,0,1,1,1,0
306,101873,2002,2,1,1,0,70,26702,1,0,0,0,1,1,1,0
307,101875,2002,3,1,1,1,49,121020,0,1,0,0,0,1,1,1
308,101895,2002,2,1,1,1,45,44000,0,0,0,0,1,1,1,0
309,101905,2002,4,1,1,0,42,152048,0,1,0,0,0,1,1,0
310,101919,2002,1,0,0,0,49,84000,0,0,0,0,0,1,1,0
311,101926,2002,1,0,0,1,66,13836,1,0,0,0,1,1,1,0
312,101928,2002,2,1,1,0,37,57946,0,0,0,1,0,1,1,0
313,101935,2002,3,1,1,0,44,66000,0,0,0,0,1,0,1,0
314,101946,2002,2,1,1,1,35,37715,0,1,0,0,0,1,1,0
315,101950,2002,1,0,0,0,58,18100,1,0,0,0,1,1,1,0
316,101954,2002,2,1,1,0,45,51058,0,0,1,0,0,1,1,0
317,101958,2002,2,1,1,0,43,54600,0,1,0,0,0,0,0,0
318,101964,2002,2,1,1,0,42,26500,0,0,0,0,1,0,1,0
319,101966,2002,2,1,1,1,43,86392,0,0,0,1,0,1,1,1
320,101969,2002,2,1,1,0,50,121340,0,0,0,1,0,1,1,2
321,101974,2002,2,1,1,0,28,56000,0,1,0,0,0,0,0,0
322,101978,2002,2,1,1,0,45,101070,0,1,0,0,0,1,1,0
323,102001,2002,2,1,1,0,26,70400,0,1,0,0,0,0,0,0
324,102008,2002,3,1,1,1,53,113503,0,1,0,0,0,1,1,0
325,102015,2002,2,1,1,0,41,71088,0,0,0,1,0,1,1,0
326,102023,2002,1,0,0,0,69,122976,0,0,0,0,0,0,1,0
327,102025,2002,1,0,0,0,30,39328,0,0,0,0,1,1,1,0
328,102028,2002,2,1,1,0,25,55558,0,0,0,1,0,1,1,0
329,102033,2002,2,1,1,0,56,180977,0,1,0,0,0,0,1,0
330,102035,2002,1,0,0,0,29,48342,0,1,0,0,0,1,1,0
331,102041,2002,2,1,1,0,36,59632,0,0,1,0,0,1,1,0
332,102046,2002,1,0,0,0,53,98000,0,0,0,0,0,1,1,0
333,102053,2002,1,0,0,0,44,67003,0,0,0,0,0,1,1,0
334,102060,2002,2,1,1,0,39,97234,0,0,0,1,0,1,1,0
335,102065,2002,3,1,1,1,69,16469,0,0,1,0,0,1,1,0
336,102076,2002,1,0,0,0,44,36555,0,0,0,0,0,1,1,0
337,102078,2002,1,0,0,0,42,24000,0,0,0,0,0,0,1,0
338,102080,2002,3,1,1,0,34,102000,0,1,0,0,0,1,1,0
339,102083,2002,1,0,0,0,43,9357,0,1,0,0,0,0,1,0
340,102088,2002,2,1,1,1,34,46958,0,0,0,1,0,1,1,0
341,102093,2002,1,0,0,0,63,11220,0,0,0,0,1,0,0,0
342,102094,2002,3,1,1,1,50,81258,0,1,0,0,0,0,1,0
343,102095,2002,2,1,1,0,57,41999,0,0,1,0,0,0,0,0
344,102097,2002,3,1,1,1,61,32000,0,0,0,0,1,1,1,0
345,102103,2002,2,1,1,1,28,56000,0,1,0,0,0,0,0,0
346,102111,2002,1,0,0,0,72,11128,1,0,0,0,0,0,1,0
347,102112,2002,1,0,0,0,54,61900,0,0,0,0,1,1,1,0
348,102117,2002,1,0,0,0,74,33270,1,0,0,0,0,1,1,0
349,102124,2002,1,0,0,0,29,20475,0,0,1,0,0,0,0,0
350,102132,2002,2,1,1,0,70,26002,1,0,0,0,0,0,0,0
351,102134,2002,2,1,1,1,74,20522,1,0,0,1,0,1,1,0
352,102136,2002,1,0,0,1,40,55954,0,0,0,0,1,1,1,0
353,102145,2002,3,1,1,1,43,86868,0,0,1,0,0,1,1,2
354,102154,2002,1,0,0,0,35,26000,0,0,0,1,0,0,1,0
355,102156,2002,2,1,1,0,42,46986,0,0,0,0,1,1,1,0
356,102165,2002,2,1,1,0,45,101550,0,0,1,0,0,1,1,0
357,102174,2002,2,1,1,1,39,45060,0,1,0,0,0,0,1,0
358,102194,2002,1,0,0,0,71,10816,1,0,0,0,1,0,1,0
359,102198,2002,1,0,0,0,32,75330,0,1,0,0,0,1,1,0
360,102202,2002,2,1,1,0,59,29491,0,0,0,0,0,1,1,0
361,102203,2002,2,1,1,1,64,22562,1,0,0,0,0,0,1,0
362,102204,2002,2,1,1,0,64,27170,1,0,1,0,0,1,1,0
363,102210,2002,1,0,0,1,60,12228,1,0,1,0,0,1,1,0
364,102213,2002,1,0,0,1,30,44295,0,0,1,0,0,1,1,0
365,102216,2002,1,0,0,0,72,18980,1,0,0,0,1,1,1,0
366,102218,2002,1,0,0,0,52,123392,0,0,0,1,0,1,1,0
367,102225,2002,1,0,0,0,63,13290,1,0,0,0,0,0,1,0
368,102226,2002,2,1,1,0,48,154282,0,1,0,0,0,1,1,2
369,102235,2002,1,0,0,0,41,45392,0,0,0,0,1,1,1,0
370,102243,2002,2,1,1,0,53,89900,0,0,0,0,0,1,1,0
371,102247,2002,2,1,1,0,49,98510,0,0,1,0,0,1,1,1
372,102250,2002,1,0,0,0,28,51000,0,0,0,0,1,1,1,0
373,102254,2002,1,0,0,0,41,50340,0,0,0,0,1,0,0,1
374,102270,2002,1,0,0,0,43,32417,0,0,1,0,0,0,0,1
